상품명,쇼핑몰 상품 ID,네이버쇼핑 상품 ID,광고 계정 이름,광고 계정 ID,결과,결과 유형,결과당 비용,결과당 비용 유형,총비용,노출수,평균 CPM,클릭수,평균 CPC,클릭률(%),총 전환율(%),총 광고수익률(%)
출입문 안내시트1 - 실사 출력/UV인쇄(투명/불투명) 주문제작형 상담후 진행가능,4644856855,82189377330,hana1644,1872088,0,전환,0,전환당,0,1,0,0,0,0.00,0.00,0.00
출입문 안내시트 - 실사 출력/UV인쇄(투명/불투명) 주문제작형 상담후 진행가능,4644852600,82189373102,hana1644,1872088,0,전환,0,전환당,0,1,0,0,0,0.00,0.00,0.00
단면X배너 물통없음 실내외용 banner 단면,4644825398,82189345873,hana1644,1872088,0,전환,0,전환당,0,9,0,0,0,0.00,0.00,0.00
단면Y배너 하단물통 실내외용 banner 단면,4644822108,82189342583,hana1644,1872088,0,전환,0,전환당,692,53,13051,2,346,3.77,0.00,0.00
양면Y배너 하단물통 실내외용 banner 양면 단면 배너,4644820539,82189341014,hana1644,1872088,0,전환,0,전환당,0,32,0,0,0,0.00,0.00,0.00
트라이폴 배너 실내외용 banner 양면 단면배너,4644819739,82189340214,hana1644,1872088,0,전환,0,전환당,0,17,0,0,0,0.00,0.00,0.00
대형 자이언트 대형 배너 실내외용 banner 양면 단면배너,4644817132,82189337607,hana1644,1872088,0,전환,0,전환당,3122,64,48788,4,781,6.25,0.00,0.00
일반형 주황 공사중 작업중 안내 위험구역 주차금지 오뚜기 상단 양면 무지 선택안함,4643759142,82188279617,hana1644,1872088,0,전환,0,전환당,0,6,0,0,0,0.00,0.00,0.00
소형 A형 입간판 접이식 사진촬영금지 A형 입간판 진입금지 주차금지 표지판 PE 경고 표시판 소형 노랑 무지,4643661514,82188181989,hana1644,1872088,0,전환,0,전환당,0,1,0,0,0,0.00,0.00,0.00
소형 A형 입간판 출입금지 안내 PE 입간판 반려견 출입금지 A형 표지판 카페 반려동물 진입금지 식당 음식점 소형 노랑 무지,4643659777,82188180252,hana1644,1872088,0,전환,0,전환당,0,5,0,0,0,0.00,0.00,0.00
소형 A형 입간판 점검중 PE 표지판 진입금지 공사중 접이식 입간판 A형 주차금지 소형 노랑 무지,4643650474,82188170949,hana1644,1872088,0,전환,0,전환당,0,1,0,0,0,0.00,0.00,0.00
